two_theta,CPS,ESD
35.16,70.83,4.123
35.18,16.67,2
35.2,16.67,2
35.22,16.67,2
35.24,29.17,2.646
35.26,12.5,1.732
35.28,8.33,1.414
35.3,8.33,1.414
35.32,8.33,1.414
35.34,8.33,1.414
35.36,4.17,1
35.38,4.17,1
35.4,8.33,1.414
35.42,20.83,2.236
35.44,8.33,1.414
35.46,12.5,1.732
35.48,16.67,2
35.5,20.83,2.236
35.52,29.17,2.646
35.54,12.5,1.732
35.56,8.33,1.414
35.58,12.5,1.732
35.6,16.67,2
35.62,16.67,2
35.64,4.17,1
35.66,8.33,1.414
35.68,16.67,2
35.7,16.67,2
35.72,4.17,1
35.74,12.5,1.732
35.76,12.5,1.732
35.78,8.33,1.414
35.8,20.83,2.236
35.82,4.17,1
35.84,25,2.449
35.86,37.5,3
35.88,12.5,1.732
35.9,25,2.449
35.92,25,2.449
35.94,16.67,2
35.96,41.67,3.162
35.98,25,2.449
36,0,0
36.02,4.17,1
36.04,25,2.449
36.06,37.5,3
36.08,12.5,1.732
36.1,25,2.449
36.12,4.17,1
36.14,25,2.449
36.16,54.17,3.606
36.18,58.33,3.742
36.2,25,2.449
36.22,20.83,2.236
36.24,25,2.449
36.26,45.83,3.317
36.28,29.17,2.646
36.3,45.83,3.317
36.32,33.33,2.828
36.34,62.5,3.873
36.36,29.17,2.646
36.38,45.83,3.317
36.4,58.33,3.742
36.42,50,3.464
36.44,70.83,4.123
36.46,25,2.449
36.48,62.5,3.873
36.5,66.67,4
36.52,45.83,3.317
36.54,33.33,2.828
36.56,45.83,3.317
36.58,75,4.243
36.6,41.67,3.162
36.62,87.5,4.583
36.64,66.67,4
36.66,41.67,3.162
36.68,66.67,4
36.7,66.67,4
36.72,75,4.243
36.74,83.33,4.472
36.76,54.17,3.606
36.78,104.17,5
36.8,70.83,4.123
36.82,91.67,4.69
36.84,87.5,4.583
36.86,87.5,4.583
36.88,108.33,5.099
36.9,112.5,5.196
36.92,108.33,5.099
36.94,129.17,5.568
36.96,112.5,5.196
36.98,141.67,5.831
37,195.83,6.856
37.02,187.5,6.708
37.04,254.17,7.81
37.06,358.33,9.274
37.08,362.5,9.327
37.1,512.5,11.091
37.12,637.5,12.369
37.14,833.33,14.142
37.16,1583.33,19.494
37.18,2670.83,25.318
37.2,2983.33,26.758
37.22,2320.83,23.601
37.24,1454.17,18.682
37.26,762.5,13.528
37.28,670.83,12.689
37.3,529.17,11.269
37.32,495.83,10.909
37.34,391.67,9.695
37.36,391.67,9.695
37.38,341.67,9.055
37.4,304.17,8.544
37.42,375,9.487
37.44,408.33,9.899
37.46,554.17,11.533
37.48,841.67,14.213
37.5,1087.5,16.155
37.52,891.67,14.629
37.54,445.83,10.344
37.56,404.17,9.849
37.58,333.33,8.944
37.6,312.5,8.66
37.62,333.33,8.944
37.64,325,8.832
37.66,337.5,9
37.68,391.67,9.695
37.7,325,8.832
37.72,308.33,8.602
37.74,375,9.487
37.76,425,10.1
37.78,370.83,9.434
37.8,308.33,8.602
37.82,383.33,9.592
37.84,412.5,9.95
37.86,412.5,9.95
37.88,391.67,9.695
37.9,354.17,9.22
37.92,400,9.798
37.94,516.67,11.136
37.96,420.83,10.05
37.98,337.5,9
38,450,10.392
38.02,395.83,9.747
38.04,462.5,10.536
38.06,500,10.954
38.08,491.67,10.863
38.1,525,11.225
38.12,495.83,10.909
38.14,412.5,9.95
38.16,408.33,9.899
38.18,541.67,11.402
38.2,562.5,11.619
38.22,508.33,11.045
38.24,441.67,10.296
38.26,408.33,9.899
38.28,512.5,11.091
38.3,433.33,10.198
38.32,550,11.489
38.34,483.33,10.77
38.36,483.33,10.77
38.38,508.33,11.045
38.4,508.33,11.045
38.42,633.33,12.329
38.44,662.5,12.61
38.46,545.83,11.446
38.48,754.17,13.454
38.5,829.17,14.107
38.52,704.17,13
38.54,841.67,14.213
38.56,920.83,14.866
38.58,962.5,15.199
38.6,1241.67,17.263
38.62,1570.83,19.416
38.64,2375,23.875
38.66,3475,28.879
38.68,4900,34.293
38.7,6637.5,39.912
38.72,6800,40.398
38.74,7445.83,42.273
38.76,8445.83,45.022
38.78,10683.33,50.636
38.8,14458.33,58.907
38.82,24395.83,76.518
38.84,58700,118.693
38.86,73783.33,133.071
38.88,37454.17,94.81
38.9,82237.5,140.488
38.92,52258.33,111.991
38.94,44129.17,102.913
38.96,79391.67,138.036
38.98,103716.67,157.772
39,68337.5,128.066
39.02,29237.5,83.768
39.04,17062.5,63.992
39.06,11687.5,52.962
39.08,8708.33,45.717
39.1,6925,40.768
39.12,5329.17,35.763
39.14,4316.67,32.187
39.16,3858.33,30.43
39.18,2966.67,26.683
39.2,2116.67,22.539
39.22,1775,20.64
39.24,1279.17,17.521
39.26,1070.83,16.031
39.28,987.5,15.395
39.3,879.17,14.526
39.32,866.67,14.422
39.34,725,13.191
39.36,679.17,12.767
39.38,604.17,12.042
39.4,679.17,12.767
39.42,579.17,11.79
39.44,579.17,11.79
39.46,650,12.49
39.48,637.5,12.369
39.5,608.33,12.083
39.52,479.17,10.724
39.54,554.17,11.533
39.56,512.5,11.091
39.58,529.17,11.269
39.6,412.5,9.95
39.62,462.5,10.536
39.64,475,10.677
39.66,608.33,12.083
39.68,450,10.392
39.7,487.5,10.817
39.72,516.67,11.136
39.74,591.67,11.916
39.76,612.5,12.124
39.78,741.67,13.342
39.8,712.5,13.077
39.82,912.5,14.799
39.84,1470.83,18.788
39.86,2258.33,23.281
39.88,2145.83,22.694
39.9,1400,18.33
39.92,775,13.638
39.94,625,12.247
39.96,612.5,12.124
39.98,595.83,11.958
40,495.83,10.909
40.02,458.33,10.488
40.04,366.67,9.381
40.06,429.17,10.149
40.08,516.67,11.136
40.1,391.67,9.695
40.12,475,10.677
40.14,370.83,9.434
40.16,562.5,11.619
40.18,712.5,13.077
40.2,591.67,11.916
40.22,445.83,10.344
40.24,533.33,11.314
40.26,387.5,9.644
40.28,395.83,9.747
40.3,362.5,9.327
40.32,445.83,10.344
40.34,370.83,9.434
40.36,375,9.487
40.38,416.67,10
40.4,412.5,9.95
40.42,362.5,9.327
40.44,391.67,9.695
40.46,470.83,10.63
40.48,366.67,9.381
40.5,395.83,9.747
40.52,420.83,10.05
40.54,437.5,10.247
40.56,379.17,9.539
40.58,358.33,9.274
40.6,487.5,10.817
40.62,412.5,9.95
40.64,412.5,9.95
40.66,300,8.485
40.68,370.83,9.434
40.7,375,9.487
40.72,404.17,9.849
40.74,316.67,8.718
40.76,387.5,9.644
40.78,404.17,9.849
40.8,329.17,8.888
40.82,366.67,9.381
40.84,366.67,9.381
40.86,341.67,9.055
40.88,395.83,9.747
40.9,391.67,9.695
40.92,416.67,10
40.94,283.33,8.246
40.96,433.33,10.198
40.98,400,9.798
41,341.67,9.055
41.02,416.67,10
41.04,379.17,9.539
41.06,450,10.392
41.08,416.67,10
41.1,375,9.487
41.12,316.67,8.718
41.14,379.17,9.539
41.16,416.67,10
41.18,370.83,9.434
41.2,433.33,10.198
41.22,395.83,9.747
41.24,420.83,10.05
41.26,404.17,9.849
41.28,408.33,9.899
41.3,500,10.954
41.32,495.83,10.909
41.34,508.33,11.045
41.36,458.33,10.488
41.38,491.67,10.863
41.4,525,11.225
41.42,675,12.728
41.44,1066.67,16
41.46,1745.83,20.469
41.48,2537.5,24.678
41.5,3087.5,27.221
41.52,3262.5,27.982
41.54,3095.83,27.258
41.56,3358.33,28.39
41.58,4187.5,31.702
41.6,4950,34.467
41.62,7183.33,41.521
41.64,16387.5,62.714
41.66,71183.33,130.706
41.68,122070.83,171.164
41.7,69441.67,129.097
41.72,17087.5,64.039
41.74,11083.33,51.575
41.76,23029.17,74.344
41.78,55237.5,115.139
41.8,51045.83,110.684
41.82,17770.83,65.307
41.84,8020.83,43.875
41.86,5441.67,36.139
41.88,4154.17,31.575
41.9,2991.67,26.796
41.92,2404.17,24.021
41.94,2137.5,22.65
41.96,2079.17,22.338
41.98,1708.33,20.248
42,1129.17,16.462
42.02,979.17,15.33
42.04,691.67,12.884
42.06,525,11.225
42.08,475,10.677
42.1,429.17,10.149
42.12,325,8.832
42.14,458.33,10.488
42.16,383.33,9.592
42.18,350,9.165
42.2,275,8.124
42.22,362.5,9.327
42.24,375,9.487
42.26,366.67,9.381
42.28,300,8.485
42.3,275,8.124
42.32,275,8.124
42.34,212.5,7.141
42.36,325,8.832
42.38,300,8.485
42.4,245.83,7.681
42.42,250,7.746
42.44,254.17,7.81
42.46,241.67,7.616
42.48,233.33,7.483
42.5,320.83,8.775
42.52,241.67,7.616
42.54,208.33,7.071
42.56,250,7.746
42.58,270.83,8.062
42.6,208.33,7.071
42.62,187.5,6.708
42.64,129.17,5.568
42.66,200,6.928
42.68,208.33,7.071
42.7,204.17,7
42.72,187.5,6.708
42.74,175,6.481
42.76,191.67,6.782
42.78,183.33,6.633
42.8,145.83,5.916
42.82,195.83,6.856
42.84,204.17,7
42.86,129.17,5.568
42.88,158.33,6.164
42.9,191.67,6.782
42.92,141.67,5.831
42.94,158.33,6.164
42.96,170.83,6.403
42.98,120.83,5.385
43,208.33,7.071
43.02,125,5.477
43.04,158.33,6.164
43.06,183.33,6.633
43.08,116.67,5.292
43.1,141.67,5.831
43.12,116.67,5.292
43.14,145.83,5.916
43.16,125,5.477
43.18,150,6
43.2,158.33,6.164
43.22,133.33,5.657
43.24,100,4.899
43.26,120.83,5.385
43.28,120.83,5.385
43.3,162.5,6.245
43.32,95.83,4.796
43.34,125,5.477
43.36,133.33,5.657
43.38,108.33,5.099
43.4,112.5,5.196
43.42,87.5,4.583
43.44,154.17,6.083
43.46,125,5.477
43.48,100,4.899
43.5,125,5.477
43.52,95.83,4.796
43.54,129.17,5.568
43.56,116.67,5.292
43.58,100,4.899
43.6,141.67,5.831
43.62,95.83,4.796
43.64,108.33,5.099
43.66,112.5,5.196
43.68,91.67,4.69
43.7,137.5,5.745
43.72,125,5.477
43.74,75,4.243
43.76,100,4.899
43.78,91.67,4.69
43.8,104.17,5
43.82,104.17,5
43.84,112.5,5.196
43.86,91.67,4.69
43.88,87.5,4.583
43.9,112.5,5.196
43.92,95.83,4.796
43.94,91.67,4.69
43.96,91.67,4.69
43.98,75,4.243
44,129.17,5.568
44.02,125,5.477
44.04,95.83,4.796
44.06,70.83,4.123
44.08,133.33,5.657
44.1,87.5,4.583
44.12,104.17,5
44.14,112.5,5.196
44.16,95.83,4.796
44.18,87.5,4.583
44.2,87.5,4.583
44.22,100,4.899
44.24,83.33,4.472
44.26,70.83,4.123
44.28,83.33,4.472
44.3,54.17,3.606
44.32,83.33,4.472
44.34,41.67,3.162
44.36,70.83,4.123
44.38,66.67,4
44.4,62.5,3.873
44.42,79.17,4.359
44.44,62.5,3.873
44.46,79.17,4.359
44.48,75,4.243
44.5,66.67,4
44.52,91.67,4.69
44.54,75,4.243
44.56,79.17,4.359
44.58,54.17,3.606
44.6,33.33,2.828
44.62,66.67,4
44.64,75,4.243
44.66,54.17,3.606
44.68,58.33,3.742
44.7,70.83,4.123
44.72,70.83,4.123
44.74,62.5,3.873
44.76,58.33,3.742
44.78,25,2.449
44.8,83.33,4.472
44.82,50,3.464
44.84,45.83,3.317
44.86,79.17,4.359
44.88,37.5,3
44.9,66.67,4
44.92,37.5,3
44.94,58.33,3.742
44.96,45.83,3.317
44.98,41.67,3.162
45,37.5,3
45.02,50,3.464
45.04,45.83,3.317
45.06,75,4.243
45.08,29.17,2.646
45.1,54.17,3.606
45.12,54.17,3.606
45.14,45.83,3.317
45.16,25,2.449
45.18,8.33,1.414
45.2,37.5,3
45.22,54.17,3.606
45.24,45.83,3.317
45.26,50,3.464
45.28,33.33,2.828
45.3,45.83,3.317
45.32,25,2.449
45.34,20.83,2.236
45.36,12.5,1.732
45.38,41.67,3.162
45.4,45.83,3.317
45.42,29.17,2.646
45.44,12.5,1.732
45.46,25,2.449
45.48,16.67,2
45.5,16.67,2
45.52,41.67,3.162
45.54,25,2.449
45.56,20.83,2.236
45.58,12.5,1.732
45.6,20.83,2.236
45.62,62.5,3.873
45.64,16.67,2
45.66,20.83,2.236
45.68,37.5,3
45.7,54.17,3.606
45.72,12.5,1.732
45.74,20.83,2.236
45.76,12.5,1.732
45.78,12.5,1.732
45.8,12.5,1.732
45.82,4.17,1
45.84,20.83,2.236
45.86,16.67,2
45.88,8.33,1.414
45.9,25,2.449
45.92,25,2.449
45.94,12.5,1.732
45.96,0,0
45.98,12.5,1.732
46,16.67,2
46.02,20.83,2.236
46.04,8.33,1.414
46.06,25,2.449
46.08,16.67,2
46.1,12.5,1.732
46.12,20.83,2.236
46.14,0,0
46.16,8.33,1.414
46.18,16.67,2
46.2,16.67,2
46.22,12.5,1.732
46.24,16.67,2
46.26,16.67,2
46.28,16.67,2
46.3,12.5,1.732
46.32,16.67,2
46.34,4.17,1
46.36,8.33,1.414
46.38,12.5,1.732
46.4,16.67,2
46.42,4.17,1
46.44,0,0
46.46,16.67,2
46.48,16.67,2
46.5,8.33,1.414
46.52,4.17,1
46.54,4.17,1
46.56,12.5,1.732
46.58,45.83,3.317
46.6,8.33,1.414
46.62,8.33,1.414
46.64,4.17,1
46.66,8.33,1.414
46.68,8.33,1.414
46.7,12.5,1.732
46.72,4.17,1
46.74,20.83,2.236
46.76,4.17,1
46.78,0,0
46.8,0,0
46.82,0,0
46.84,4.17,1
46.86,8.33,1.414
46.88,4.17,1
46.9,4.17,1
46.92,12.5,1.732
46.94,8.33,1.414
46.96,4.17,1
46.98,4.17,1
47,12.5,1.732
47.02,8.33,1.414
47.04,12.5,1.732
47.06,0,0
47.08,8.33,1.414
47.1,16.67,2
47.12,4.17,1
47.14,0,0
47.16,8.33,1.414
47.18,12.5,1.732
47.2,4.17,1
47.22,8.33,1.414
47.24,16.67,2
47.26,16.67,2
47.28,8.33,1.414
47.3,4.17,1
47.32,12.5,1.732
47.34,4.17,1
47.36,8.33,1.414
47.38,4.17,1
47.4,12.5,1.732
47.42,20.83,2.236
47.44,12.5,1.732
47.46,16.67,2
47.48,8.33,1.414
47.5,16.67,2
47.52,0,0
47.54,8.33,1.414
47.56,25,2.449
47.58,4.17,1
47.6,12.5,1.732
47.62,4.17,1
47.64,4.17,1
47.66,8.33,1.414
47.68,12.5,1.732
47.7,8.33,1.414
47.72,12.5,1.732
47.74,8.33,1.414
47.76,8.33,1.414
47.78,20.83,2.236
47.8,12.5,1.732
47.82,0,0
47.84,12.5,1.732
47.86,4.17,1
47.88,8.33,1.414
47.9,16.67,2
47.92,0,0
47.94,8.33,1.414
47.96,4.17,1
47.98,4.17,1
48,0,0
48.02,4.17,1
48.04,20.83,2.236
48.06,12.5,1.732
48.08,4.17,1
48.1,8.33,1.414
48.12,4.17,1
48.14,4.17,1
48.16,8.33,1.414
48.18,12.5,1.732
48.2,8.33,1.414
48.22,8.33,1.414
48.24,8.33,1.414
48.26,8.33,1.414
48.28,0,0
48.3,8.33,1.414
48.32,16.67,2
48.34,4.17,1
48.36,16.67,2
48.38,12.5,1.732
48.4,8.33,1.414
48.42,0,0
48.44,8.33,1.414
48.46,8.33,1.414
48.48,8.33,1.414
48.5,0,0
48.52,25,2.449
48.54,4.17,1
48.56,4.17,1
48.58,4.17,1
48.6,20.83,2.236
48.62,12.5,1.732
48.64,16.67,2
48.66,4.17,1
48.68,4.17,1
48.7,8.33,1.414
48.72,4.17,1
48.74,4.17,1
48.76,16.67,2
48.78,0,0
48.8,0,0
48.82,4.17,1
48.84,12.5,1.732
48.86,8.33,1.414
48.88,4.17,1
48.9,16.67,2
48.92,12.5,1.732
48.94,0,0
48.96,8.33,1.414
48.98,4.17,1
49,8.33,1.414
49.02,16.67,2
49.04,4.17,1
49.06,20.83,2.236
49.08,8.33,1.414
49.1,16.67,2
49.12,12.5,1.732
49.14,8.33,1.414
49.16,29.17,2.646
49.18,8.33,1.414
49.2,4.17,1
49.22,12.5,1.732
49.24,12.5,1.732
49.26,8.33,1.414
49.28,8.33,1.414
49.3,4.17,1
49.32,20.83,2.236
49.34,0,0
49.36,25,2.449
49.38,12.5,1.732
49.4,8.33,1.414
49.42,8.33,1.414
49.44,12.5,1.732
49.46,12.5,1.732
49.48,12.5,1.732
49.5,16.67,2
49.52,12.5,1.732
49.54,0,0
49.56,8.33,1.414
49.58,0,0
49.6,12.5,1.732
49.62,8.33,1.414
49.64,4.17,1
49.66,4.17,1
49.68,16.67,2
49.7,8.33,1.414
49.72,20.83,2.236
49.74,4.17,1
49.76,12.5,1.732
49.78,12.5,1.732
49.8,8.33,1.414
49.82,20.83,2.236
49.84,8.33,1.414
49.86,8.33,1.414
49.88,0,0
49.9,0,0
49.92,8.33,1.414
49.94,4.17,1
49.96,4.17,1
49.98,4.17,1
50,12.5,1.732
50.02,0,0
50.04,16.67,2
50.06,12.5,1.732
50.08,8.33,1.414
50.1,8.33,1.414
50.12,8.33,1.414
50.14,8.33,1.414
50.16,4.17,1
50.18,4.17,1
50.2,12.5,1.732
50.22,8.33,1.414
50.24,25,2.449
50.26,4.17,1
50.28,0,0
50.3,4.17,1
50.32,4.17,1
50.34,8.33,1.414
50.36,0,0
50.38,4.17,1
50.4,12.5,1.732
50.42,16.67,2
50.44,8.33,1.414
50.46,4.17,1
50.48,4.17,1
50.5,4.17,1
50.52,12.5,1.732
50.54,4.17,1
50.56,4.17,1
50.58,8.33,1.414
50.6,8.33,1.414
50.62,8.33,1.414
50.64,8.33,1.414
50.66,8.33,1.414
50.68,8.33,1.414
50.7,4.17,1
50.72,8.33,1.414
50.74,8.33,1.414
50.76,0,0
50.78,0,0
50.8,8.33,1.414
50.82,4.17,1
50.84,4.17,1
50.86,12.5,1.732
50.88,12.5,1.732
50.9,4.17,1
50.92,4.17,1
50.94,12.5,1.732
50.96,8.33,1.414
50.98,4.17,1
51,4.17,1
51.02,8.33,1.414
51.04,16.67,2
51.06,8.33,1.414
51.08,0,0
51.1,4.17,1
51.12,4.17,1
51.14,8.33,1.414
51.16,8.33,1.414
51.18,0,0
51.2,0,0
51.22,0,0
51.24,12.5,1.732
51.26,0,0
51.28,12.5,1.732
51.3,4.17,1
51.32,8.33,1.414
51.34,4.17,1
51.36,4.17,1
51.38,0,0
51.4,8.33,1.414
51.42,4.17,1
51.44,8.33,1.414
51.46,0,0
51.48,4.17,1
51.5,12.5,1.732
51.52,8.33,1.414
51.54,4.17,1
51.56,8.33,1.414
51.58,0,0
51.6,8.33,1.414
51.62,16.67,2
51.64,4.17,1
51.66,4.17,1
51.68,4.17,1
51.7,20.83,2.236
51.72,12.5,1.732
51.74,4.17,1
51.76,12.5,1.732
51.78,4.17,1
51.8,29.17,2.646
51.82,4.17,1
51.84,12.5,1.732
51.86,12.5,1.732
51.88,16.67,2
51.9,12.5,1.732
51.92,4.17,1
51.94,20.83,2.236
51.96,4.17,1
51.98,4.17,1
52,4.17,1
52.02,16.67,2
52.04,0,0
52.06,4.17,1
52.08,12.5,1.732
52.1,8.33,1.414
52.12,4.17,1
52.14,8.33,1.414
52.16,12.5,1.732
52.18,8.33,1.414
52.2,4.17,1
52.22,0,0
52.24,8.33,1.414
52.26,0,0
52.28,4.17,1
52.3,0,0
52.32,4.17,1
52.34,4.17,1
52.36,12.5,1.732
52.38,16.67,2
52.4,0,0
52.42,4.17,1
52.44,12.5,1.732
52.46,8.33,1.414
52.48,4.17,1
52.5,0,0
52.52,0,0
52.54,12.5,1.732
52.56,4.17,1
52.58,0,0
52.6,12.5,1.732
52.62,8.33,1.414
52.64,12.5,1.732
52.66,4.17,1
52.68,0,0
52.7,4.17,1
52.72,4.17,1
52.74,4.17,1
52.76,0,0
52.78,0,0
52.8,4.17,1
52.82,4.17,1
52.84,12.5,1.732
52.86,4.17,1
52.88,4.17,1
52.9,16.67,2
52.92,4.17,1
52.94,0,0
52.96,12.5,1.732
52.98,8.33,1.414
53,0,0
53.02,12.5,1.732
53.04,12.5,1.732
53.06,12.5,1.732
53.08,0,0
53.1,12.5,1.732
53.12,12.5,1.732
53.14,8.33,1.414
53.16,0,0
53.18,8.33,1.414
53.2,4.17,1
53.22,4.17,1
53.24,4.17,1
53.26,25,2.449
53.28,12.5,1.732
53.3,12.5,1.732
53.32,4.17,1
53.34,4.17,1
53.36,16.67,2
53.38,16.67,2
53.4,25,2.449
53.42,12.5,1.732
53.44,4.17,1
53.46,8.33,1.414
53.48,4.17,1
53.5,12.5,1.732
53.52,8.33,1.414
53.54,16.67,2
53.56,66.67,4
53.58,95.83,4.796
53.6,75,4.243
53.62,200,6.928
53.64,112.5,5.196
53.66,91.67,4.69
53.68,33.33,2.828
53.7,41.67,3.162
53.72,29.17,2.646
53.74,25,2.449
53.76,29.17,2.646
53.78,20.83,2.236
53.8,16.67,2
53.82,8.33,1.414
53.84,4.17,1
53.86,8.33,1.414
53.88,12.5,1.732
53.9,16.67,2
53.92,8.33,1.414
53.94,4.17,1
53.96,4.17,1
53.98,0,0
54,12.5,1.732
54.02,0,0
54.04,0,0
54.06,8.33,1.414
54.08,25,2.449
54.1,4.17,1
54.12,0,0
54.14,4.17,1
54.16,8.33,1.414
54.18,4.17,1
54.2,0,0
54.22,8.33,1.414
54.24,0,0
54.26,4.17,1
54.28,4.17,1
54.3,8.33,1.414
54.32,4.17,1
54.34,8.33,1.414
54.36,8.33,1.414
54.38,0,0
54.4,8.33,1.414
54.42,8.33,1.414
54.44,0,0
54.46,0,0
54.48,4.17,1
54.5,8.33,1.414
54.52,4.17,1
54.54,16.67,2
54.56,16.67,2
54.58,8.33,1.414
54.6,4.17,1
54.62,0,0
54.64,12.5,1.732
54.66,16.67,2
54.68,16.67,2
54.7,8.33,1.414
54.72,8.33,1.414
54.74,16.67,2
54.76,4.17,1
54.78,0,0
54.8,12.5,1.732
54.82,4.17,1
54.84,0,0
54.86,12.5,1.732
54.88,8.33,1.414
54.9,8.33,1.414
54.92,8.33,1.414
54.94,4.17,1
54.96,25,2.449
54.98,12.5,1.732
55,8.33,1.414
55.02,12.5,1.732
55.04,4.17,1
55.06,8.33,1.414
55.08,4.17,1
55.1,8.33,1.414
55.12,16.67,2
55.14,25,2.449
55.16,4.17,1
55.18,8.33,1.414
55.2,8.33,1.414
55.22,4.17,1
55.24,4.17,1
55.26,8.33,1.414
55.28,20.83,2.236
55.3,0,0
55.32,0,0
55.34,8.33,1.414
55.36,4.17,1
55.38,16.67,2
55.4,4.17,1
55.42,8.33,1.414
55.44,25,2.449
55.46,4.17,1
55.48,4.17,1
55.5,0,0
55.52,8.33,1.414
55.54,16.67,2
55.56,0,0
55.58,0,0
55.6,16.67,2
55.62,4.17,1
55.64,12.5,1.732
55.66,20.83,2.236
55.68,16.67,2
55.7,0,0
55.72,20.83,2.236
55.74,8.33,1.414
55.76,8.33,1.414
55.78,16.67,2
55.8,8.33,1.414
55.82,12.5,1.732
55.84,16.67,2
55.86,20.83,2.236
55.88,16.67,2
55.9,16.67,2
55.92,8.33,1.414
55.94,8.33,1.414
55.96,4.17,1
55.98,16.67,2
56,33.33,2.828
56.02,20.83,2.236
56.04,25,2.449
56.06,29.17,2.646
56.08,20.83,2.236
56.1,29.17,2.646
56.12,20.83,2.236
56.14,16.67,2
56.16,20.83,2.236
56.18,16.67,2
56.2,33.33,2.828
56.22,12.5,1.732
56.24,20.83,2.236
56.26,12.5,1.732
56.28,25,2.449
56.3,33.33,2.828
56.32,16.67,2
56.34,12.5,1.732
56.36,29.17,2.646
56.38,41.67,3.162
56.4,33.33,2.828
56.42,25,2.449
56.44,41.67,3.162
56.46,41.67,3.162
56.48,29.17,2.646
56.5,50,3.464
56.52,12.5,1.732
56.54,54.17,3.606
56.56,20.83,2.236
56.58,20.83,2.236
56.6,29.17,2.646
56.62,37.5,3
56.64,29.17,2.646
56.66,41.67,3.162
56.68,37.5,3
56.7,54.17,3.606
56.72,29.17,2.646
56.74,33.33,2.828
56.76,58.33,3.742
56.78,66.67,4
56.8,41.67,3.162
56.82,33.33,2.828
56.84,41.67,3.162
56.86,70.83,4.123
56.88,104.17,5
56.9,79.17,4.359
56.92,83.33,4.472
56.94,87.5,4.583
56.96,112.5,5.196
56.98,179.17,6.557
57,62.5,3.873
57.02,191.67,6.782
57.04,266.67,8
57.06,308.33,8.602
57.08,400,9.798
57.1,600,12
57.12,775,13.638
57.14,1137.5,16.523
57.16,1279.17,17.521
57.18,1020.83,15.652
57.2,883.33,14.56
57.22,529.17,11.269
57.24,395.83,9.747
57.26,237.5,7.55
57.28,233.33,7.483
57.3,195.83,6.856
57.32,179.17,6.557
57.34,129.17,5.568
57.36,141.67,5.831
57.38,145.83,5.916
57.4,87.5,4.583
57.42,112.5,5.196
57.44,104.17,5
57.46,145.83,5.916
57.48,87.5,4.583
57.5,120.83,5.385
57.52,104.17,5
57.54,83.33,4.472
57.56,162.5,6.245
57.58,166.67,6.325
57.6,237.5,7.55
57.62,237.5,7.55
57.64,287.5,8.307
57.66,241.67,7.616
57.68,150,6
57.7,166.67,6.325
57.72,100,4.899
57.74,112.5,5.196
57.76,100,4.899
57.78,91.67,4.69
57.8,104.17,5
57.82,79.17,4.359
57.84,125,5.477
57.86,100,4.899
57.88,79.17,4.359
57.9,87.5,4.583
57.92,116.67,5.292
57.94,95.83,4.796
57.96,100,4.899
57.98,75,4.243
58,100,4.899
58.02,108.33,5.099
58.04,83.33,4.472
58.06,95.83,4.796
58.08,83.33,4.472
58.1,83.33,4.472
58.12,137.5,5.745
58.14,104.17,5
58.16,66.67,4
58.18,66.67,4
58.2,141.67,5.831
58.22,141.67,5.831
58.24,95.83,4.796
58.26,91.67,4.69
58.28,129.17,5.568
58.3,100,4.899
58.32,116.67,5.292
58.34,104.17,5
58.36,91.67,4.69
58.38,141.67,5.831
58.4,133.33,5.657
58.42,133.33,5.657
58.44,154.17,6.083
58.46,100,4.899
58.48,112.5,5.196
58.5,129.17,5.568
58.52,100,4.899
58.54,87.5,4.583
58.56,87.5,4.583
58.58,137.5,5.745
58.6,70.83,4.123
58.62,108.33,5.099
58.64,112.5,5.196
58.66,129.17,5.568
58.68,75,4.243
58.7,162.5,6.245
58.72,137.5,5.745
58.74,120.83,5.385
58.76,170.83,6.403
58.78,112.5,5.196
58.8,104.17,5
58.82,112.5,5.196
58.84,150,6
58.86,112.5,5.196
58.88,200,6.928
58.9,137.5,5.745
58.92,162.5,6.245
58.94,133.33,5.657
58.96,158.33,6.164
58.98,104.17,5
59,158.33,6.164
59.02,154.17,6.083
59.04,129.17,5.568
59.06,137.5,5.745
59.08,183.33,6.633
59.1,187.5,6.708
59.12,179.17,6.557
59.14,150,6
59.16,125,5.477
59.18,183.33,6.633
59.2,170.83,6.403
59.22,150,6
59.24,158.33,6.164
59.26,162.5,6.245
59.28,237.5,7.55
59.3,229.17,7.416
59.32,225,7.348
59.34,237.5,7.55
59.36,283.33,8.246
59.38,283.33,8.246
59.4,300,8.485
59.42,216.67,7.211
59.44,312.5,8.66
59.46,362.5,9.327
59.48,337.5,9
59.5,458.33,10.488
59.52,570.83,11.705
59.54,629.17,12.288
59.56,770.83,13.601
59.58,895.83,14.663
59.6,1133.33,16.492
59.62,1054.17,15.906
59.64,1504.17,19
59.66,1770.83,20.616
59.68,2525,24.617
59.7,2908.33,26.42
59.72,3416.67,28.636
59.74,3666.67,29.665
59.76,4566.67,33.106
59.78,5595.83,36.647
59.8,7808.33,43.29
59.82,12891.67,55.624
59.84,23083.33,74.431
59.86,46316.67,105.432
59.88,67575,127.35
59.9,63741.67,123.685
59.92,37358.33,94.689
59.94,20225,69.671
59.96,13287.5,56.471
59.98,11979.17,53.619
60,15541.67,61.074
60.02,24337.5,76.426
60.04,34445.83,90.923
60.06,34754.17,91.329
60.08,23758.33,75.512
60.1,13370.83,56.648
60.12,7845.83,43.394
60.14,4812.5,33.985
60.16,3833.33,30.332
