two_theta,CPS,ESD
15.74,16.67,2
15.76,12.5,1.732
15.78,16.67,2
15.8,29.17,2.646
15.82,12.5,1.732
15.84,4.17,1
15.86,25,2.449
15.88,33.33,2.828
15.9,8.33,1.414
15.92,12.5,1.732
15.94,12.5,1.732
15.96,25,2.449
15.98,16.67,2
16,8.33,1.414
16.02,8.33,1.414
16.04,12.5,1.732
16.06,4.17,1
16.08,8.33,1.414
16.1,12.5,1.732
16.12,8.33,1.414
16.14,4.17,1
16.16,16.67,2
16.18,4.17,1
16.2,16.67,2
16.22,8.33,1.414
16.24,4.17,1
16.26,20.83,2.236
16.28,4.17,1
16.3,4.17,1
16.32,12.5,1.732
16.34,12.5,1.732
16.36,8.33,1.414
16.38,20.83,2.236
16.4,4.17,1
16.42,12.5,1.732
16.44,8.33,1.414
16.46,29.17,2.646
16.48,8.33,1.414
16.5,4.17,1
16.52,12.5,1.732
16.54,0,0
16.56,4.17,1
16.58,4.17,1
16.6,12.5,1.732
16.62,12.5,1.732
16.64,8.33,1.414
16.66,16.67,2
16.68,12.5,1.732
16.7,33.33,2.828
16.72,25,2.449
16.74,8.33,1.414
16.76,16.67,2
16.78,12.5,1.732
16.8,16.67,2
16.82,29.17,2.646
16.84,8.33,1.414
16.86,4.17,1
16.88,4.17,1
16.9,20.83,2.236
16.92,16.67,2
16.94,12.5,1.732
16.96,20.83,2.236
16.98,29.17,2.646
17,33.33,2.828
17.02,8.33,1.414
17.04,25,2.449
17.06,4.17,1
17.08,4.17,1
17.1,8.33,1.414
17.12,12.5,1.732
17.14,20.83,2.236
17.16,12.5,1.732
17.18,12.5,1.732
17.2,25,2.449
17.22,25,2.449
17.24,25,2.449
17.26,37.5,3
17.28,183.33,6.633
17.3,212.5,7.141
17.32,108.33,5.099
17.34,20.83,2.236
17.36,16.67,2
17.38,37.5,3
17.4,29.17,2.646
17.42,20.83,2.236
17.44,16.67,2
17.46,4.17,1
17.48,41.67,3.162
17.5,20.83,2.236
17.52,25,2.449
17.54,25,2.449
17.56,8.33,1.414
17.58,20.83,2.236
17.6,8.33,1.414
17.62,29.17,2.646
17.64,16.67,2
17.66,20.83,2.236
17.68,8.33,1.414
17.7,4.17,1
17.72,25,2.449
17.74,29.17,2.646
